jobId,name,submissionTime,completionTime,stageIds,jobTags,status,numTasks,numActiveTasks,numCompletedTasks,numSkippedTasks,numFailedTasks,numKilledTasks,numCompletedIndices,numActiveStages,numCompletedStages,numSkippedStages,numFailedStages,jobDurationSeconds,jobDurationMinutes
59,showString at NativeMethodAccessorImpl.java:0,2026-03-03 22:07:44.955,2026-03-03 22:07:45.022,[98],[],SUCCEEDED,1,0,1,0,0,0,1,0,1,0,0,0.067,0.0011166666666666666
58,parquet at NativeMethodAccessorImpl.java:0,2026-03-03 22:06:47.649,2026-03-03 22:07:42.779,[97],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0,55.13,0.9188333333333334
57,showString at NativeMethodAccessorImpl.java:0,2026-03-03 22:06:44.877,2026-03-03 22:06:45.473,"[96, 95]",[],SUCCEEDED,26,0,1,25,0,0,1,0,1,1,0,0.596,0.009933333333333332
56,showString at NativeMethodAccessorImpl.java:0,2026-03-03 22:05:52.732,2026-03-03 22:06:44.744,[94],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0,52.012,0.8668666666666667
55,approxQuantile at <unknown>:0,2026-03-03 22:05:46.367,2026-03-03 22:05:51.948,"[93, 92]",[],SUCCEEDED,30,0,30,0,0,0,30,0,2,0,0,5.581,0.09301666666666668
54,approxQuantile at <unknown>:0,2026-03-03 22:05:40.655,2026-03-03 22:05:46.121,"[90, 91]",[],SUCCEEDED,30,0,30,0,0,0,30,0,2,0,0,5.466,0.0911
53,approxQuantile at <unknown>:0,2026-03-03 22:05:34.468,2026-03-03 22:05:40.336,"[88, 89]",[],SUCCEEDED,30,0,30,0,0,0,30,0,2,0,0,5.868,0.09780000000000001
52,approxQuantile at <unknown>:0,2026-03-03 22:05:24.893,2026-03-03 22:05:34.188,"[86, 87]",[],SUCCEEDED,30,0,30,0,0,0,30,0,2,0,0,9.295,0.15491666666666667
51,approxQuantile at <unknown>:0,2026-03-03 22:05:17.862,2026-03-03 22:05:23.464,"[84, 85]",[],SUCCEEDED,30,0,30,0,0,0,30,0,2,0,0,5.602,0.09336666666666667
50,approxQuantile at <unknown>:0,2026-03-03 22:05:13.577,2026-03-03 22:05:17.630,"[82, 83]",[],SUCCEEDED,30,0,30,0,0,0,30,0,2,0,0,4.053,0.06755
